t,x,y,z
39.8,0.209162656,0.073075613,0.095180418
39.9,0.20772162,0.072240426,0.101685441
40,0.206265819,0.071423367,0.108163136
40.1,0.204795694,0.070624536,0.114611239
40.2,0.203311687,0.069844028,0.121027502
40.3,0.201814244,0.069081928,0.127409694
40.4,0.200303811,0.068338315,0.133755597
40.5,0.198780837,0.06761326,0.140063012
40.6,0.19724577,0.066906825,0.146329756
40.7,0.195699064,0.066219068,0.152553666
40.8,0.19414117,0.065550036,0.158732596
40.9,0.192572542,0.064899769,0.164864422
41,0.190993635,0.064268301,0.170947039
41.1,0.189404905,0.063655658,0.176978365
41.2,0.187806808,0.063061856,0.182956338
41.3,0.1861998,0.062486906,0.188878922
41.4,0.18458434,0.061930811,0.194744102
41.5,0.182960882,0.061393567,0.200549889
41.6,0.181329887,0.060875161,0.206294317
41.7,0.179691809,0.060375574,0.21197545
41.8,0.178047106,0.059894778,0.217591373
41.9,0.176396235,0.05943274,0.223140203
42,0.17473965,0.058989418,0.228620083
42.1,0.173077808,0.058564761,0.234029183
42.2,0.171411161,0.058158716,0.239365706
42.3,0.169740164,0.057771216,0.24462788
42.4,0.168065267,0.057402193,0.249813968
42.5,0.166386921,0.057051568,0.254922262
42.6,0.164705574,0.056719256,0.259951086
42.7,0.163021675,0.056405166,0.264898795
42.8,0.161335667,0.056109198,0.269763779
42.9,0.159647994,0.055831246,0.274544461
43,0.157959098,0.055571199,0.279239297
43.1,0.156269417,0.055328936,0.283846779
43.2,0.154579388,0.055104331,0.288365433
43.3,0.152889444,0.054897252,0.292793821
43.4,0.151200016,0.054707559,0.297130541
43.5,0.149511534,0.054535107,0.301374228
43.6,0.147824421,0.054379742,0.305523554
43.7,0.146139101,0.054241307,0.309577228
43.8,0.144455992,0.054119637,0.313533999
43.9,0.142775509,0.05401456,0.317392651
44,0.141098065,0.0539259,0.32115201
44.1,0.139424068,0.053853472,0.32481094
44.2,0.137753922,0.053797089,0.328368345
44.3,0.136088028,0.053756555,0.331823169
44.4,0.134426782,0.05373167,0.335174397
44.5,0.132770577,0.053722227,0.338421052
44.6,0.131119801,0.053728015,0.341562203
44.7,0.129474837,0.053748816,0.344596956
44.8,0.127836064,0.053784407,0.347524461
44.9,0.126203857,0.053834562,0.350343909
45,0.124578585,0.053899047,0.353054534
45.1,0.122960613,0.053977624,0.355655612
45.2,0.121350301,0.05407005,0.358146462
